"nm0000313","tt1754656","The Aviator"
"nm0000313","tt2582782","Marcus Hamilton"
"nm0000313","tt3829920","Duane Steinbrink"
"nm0000313","tt6628394","Dock O'Kelly"
"nm0000313","tt6628394","Father Daniel Flynn"
"nm0000317","tt6412452","Curly Joe (segment ""The Ballad of Buster Scruggs"")"
"nm0000321","tt7784604","Steve"
"nm0000323","tt0180073","Royer-Collard"
"nm0000323","tt0206634","Jasper"
"nm0000323","tt0327137","Garth"
"nm0000323","tt0372784","Alfred"
"nm0000323","tt0468569","Alfred"
"nm0000323","tt0482571","Cutter"
"nm0000323","tt1289406","Harry Brown"
"nm0000323","tt2802144","Arthur"
"nm0000323","tt3312830","Fred Ballinger"
"nm0000326","tt0851430","Caroline Kipling"
"nm0000327","tt0407612","Brooke Ellison"
"nm0000329","tt1302011","Monkey"
"nm0000329","tt1615160","Quan Ngoc Minh"
"nm0000330","tt0267736","Judy Shepard"
"nm0000332","tt0375679","Graham"
"nm0000332","tt0395169","Paul Rusesabagina"
"nm0000332","tt0490204","Alan Johnson"
"nm0000332","tt0988047","Samir Horn"
"nm0000332","tt1228705","Lt. Col. James 'Rhodey' Rhodes"
"nm0000332","tt1300854","Colonel James Rhodes"
"nm0000332","tt1540133","FBI Agent Wendell Everett"
"nm0000332","tt1907668","Hugh Lang"
"nm0000334","tt0190332","Master Li Mu Bai"
"nm0000335","tt0319754","Eleanor"
"nm0000342","tt0166813","The Colonel"
"nm0000342","tt0416508","Reverend Austen"
"nm0000342","tt0436697","Prince Philip"
"nm0000342","tt1655442","Clifton"
"nm0000345","tt0198781","Mike"
"nm0000345","tt1453405","Mike"
"nm0000349","tt0332379","Rosalie Mullins"
"nm0000349","tt0435761","Jessie"
"nm0000353","tt0145487","Green Goblin"
"nm0000353","tt0145487","Norman Osborn"
"nm0000353","tt0266543","Gill"
"nm0000353","tt2911666","Marcus"
"nm0000353","tt5649144","Bobby"
"nm0000353","tt7984734","Thomas Wake"
"nm0000354","tt0166813","Spirit"
"nm0000354","tt0240772","Linus Caldwell"
"nm0000354","tt0258463","Bourne"
"nm0000354","tt0372183","Jason Bourne"
"nm0000354","tt0407887","Colin Sullivan"
"nm0000354","tt0440963","Jason Bourne"
"nm0000354","tt0876563","Kôichi"
"nm0000354","tt1057500","Francois Pienaar"
"nm0000354","tt1385826","David Norris"
"nm0000354","tt1389137","Benjamin Mee"
"nm0000354","tt1403865","LaBoeuf"
"nm0000354","tt1645089","Self - Narrator"
"nm0000354","tt1950186","Carroll Shelby"
"nm0000354","tt3659388","Mark Watney"
"nm0000357","tt10345008","Lila"
"nm0000357","tt9087578","Judy Dempsey"
"nm0000358","tt0217505","Bill 'The Butcher' Cutting"
"nm0000358","tt0443272","Abraham Lincoln"
"nm0000358","tt0469494","Daniel Plainview"
"nm0000358","tt5776858","Reynolds Woodcock"
"nm0000360","tt0817177","Patsy Loski"
"nm0000365","tt0381681","Celine"
"nm0000365","tt0412019","Sherry"
"nm0000365","tt2209418","Celine"
"nm0000366","tt0168629","Kathy"
"nm0000366","tt0808417","Mom"
"nm0000368","tt2305051","Bobbi"
"nm0000368","tt2582846","Frannie"
"nm0000375","tt0185014","Terry Crabtree"
"nm0000375","tt0371746","Tony Stark"
"nm0000375","tt0373469","Harry Lockhart"
"nm0000375","tt0405296","James Barris"
"nm0000375","tt0423977","Nathan Gardner"
"nm0000375","tt0443706","Paul Avery"
"nm0000375","tt0848228","Iron Man"
"nm0000375","tt0848228","Tony Stark"
